label,source,text,username,mention,title,state
From: Trey Radel (Representative from Florida),twitter,rt @nowthisnews: rep. trey radel (r- #fl) slams #obamacare. #politics https://t.co/zvywmg8yih,trey radel,['@nowthisnews'],Representative,Florida
From: Mitch McConnell (Senator from Kentucky),twitter,video - #obamacare:  full of higher costs and broken promises: http://t.co/dn3vzqirwf,mitch mcconnell,[],Senator,Kentucky
From: Kurt Schrader (Representative from Oregon),twitter,please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.,kurt schrader,[],Representative,Oregon
From: Michael Crapo (Senator from Idaho),twitter,rt @senatorleahy: 1st step toward senate debate on leahy-crapo #vawa bill is the senateûªs procedural vote today at 5:30 pm,michael crapo,['@senatorleahy'],Senator,Idaho
From: Mark Udall (Senator from Colorado),twitter,.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. my #uas bill does that: http://t.co/l9ta5skq6u,mark udall,['@amazon'],Senator,Colorado
From: Heidi Heitkamp (Senator from North Dakota),twitter,called on the @usdotfra to release info about inspections before the #casseltonderailment to review quality of rails. (1/2),heidi heitkamp,['@usdotfra'],Senator,North Dakota
From: Frederica Wilson (Representative from Florida),twitter,"@bbcworld, help us keep the kidnapped nigerian school girls' story out front. #bringbackourgirls #joinrepwilson http://t.co/zqzvt80mga",frederica wilson,['@bbcworld'],Representative,Florida
From: Ron Barber (Representative from Arizona),twitter,show your arizona pride-choose your favorite s. az picture for my facebook cover photo! retweet to spread the word! https://t.co/7phhiga8nd,ron barber,[],Representative,Arizona
From: Chuck Fleischmann (Representative from Tennessee),twitter,what a wonderful night at state senator ken yagerûªs chili supper benefitting the boys &amp; girls clubs of roane county. http://t.co/dsyoafzvkr,chuck fleischmann,[],Representative,Tennessee
From: Steny Hoyer (Representative from Maryland),twitter,"great op-ed by pres. clinton about signing #fmla 20 yrs ago today, an important law protecting workers http://t.co/csyev7o4 #hoyerheadlines",steny hoyer,[],Representative,Maryland
From: John Fleming (Representative from Louisiana),twitter,"as potus golfs, pushes amnesty &amp; ignores keystone, american people are concerned about jobs, econ &amp; health care costs http://t.co/p9spdyoaca",john fleming,[],Representative,Louisiana
From: Adam Kinzinger (Representative from Illinois),twitter,the president doesnûªt get to just decide he doesnûªt like congress and do his own thing: http://t.co/jmclkjuzsg,adam kinzinger,[],Representative,Illinois
From: Thomas Carper (Senator from Delaware),twitter,"fact: the recovery act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets.",thomas carper,[],Senator,Delaware
From: Gregg Harper (Representative from Mississippi),twitter,rt @mha: telemedicine consults at rural ers helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/veyo4scm3g,gregg harper,"['@mha', '@genevrapittman', '@medcitynews']",Representative,Mississippi
From: John Dingell (Representative from Michigan),twitter,"@skitchp wouldn't wish that on anyone. even you, skitch.",john dingell,['@skitchp'],Representative,Michigan
From: Kirsten Gillibrand (Senator from New York),twitter,"at 5:45pm, sen. @corybooker will give his maiden senate speech on need to #renewui--such an impt issue! follow @senbookerofc for livetweets.",kirsten gillibrand,"['@corybooker', '@senbookerofc']",Senator,New York
From: Cory Booker (Senator from New Jersey),twitter,"""...if you have come because your liberation is bound up with mine, then let us work together."" ûò lilla watson http://t.co/6wpxw9qum0",cory booker,[],Senator,New Jersey
From: Elizabeth Esty (Representative from Connecticut),twitter,"for health coverage starting jan. 1st, you must sign up for @accesshealthct by end of today: http://t.co/fs7mnrppmb #getenrolled",elizabeth esty,['@accesshealthct'],Representative,Connecticut
From: Eric Cantor (Representative from Virginia),twitter,the house will vote this week to #defundobamacare and keep the government open.,eric cantor,[],Representative,Virginia
From: Paul Tonko (Representative from New York),twitter,tks to margaret 4 joining me in dc to share successes niskayuna ncap saw in education &amp; prevention of substance abuse http://t.co/kvs6kakjyt,paul tonko,[],Representative,New York
From: Michael Crapo (Senator from Idaho),twitter,a great look back at at idaho native american tribes in 1863. #idpol #idaho150 via @ktvb http://t.co/jsxswvpdpv,michael crapo,['@ktvb'],Senator,Idaho
From: Orrin Hatch (Senator from Utah),twitter,"#otd in 1969, american astronaut neil armstrong stepped off the lunar landing module eagle and walked on the surface of the moon",orrin hatch,[],Senator,Utah
From: Niki Tsongas (Representative from Massachusetts),twitter,rt if you agree: it's time to #actonclimate change  õ more info on the #nca2014 released today at http://t.co/sdcnkyudvj,niki tsongas,[],Representative,Massachusetts
From: Kerry Bentivolio (Representative from Michigan),twitter,we will vote on the working families flexibility act. would you like the flexibility to choose how you're comp'd for overtime? #yourtime,kerry bentivolio,[],Representative,Michigan
From: Pete Sessions (Representative from Texas),twitter,"reminder: next week, my office will be holding mobile office hours in sachse and wylie. learn more: http://t.co/38p28m2o0i #tx32",pete sessions,[],Representative,Texas
From: John Rockefeller IV (Senator from West Virginia),twitter,this wkûªs 1 min video is on how expanding medicaid in #wv will help so many families get affordable health care. http://t.co/vdumx9r4x5,john rockefeller iv,[],Senator,West Virginia
From: Steve Womack (Representative from Arkansas),twitter,thinking of all those affected by the severe weather today - especially in oklahoma.  stay safe.,steve womack,[],Representative,Arkansas
From: Randy Hultgren (Representative from Illinois),twitter,remember bill? he and his friends are stuck on @senatorreid's desk. #4jobs http://t.co/0dcnu1r3g7,randy hultgren,['@senatorreid'],Representative,Illinois
From: Bob Casey (Senator from Pennsylvania),twitter,slashing amtrakûªs funding by 1/3 at a time of increasing ridership will hurt paûªs economy. http://t.co/dqtbbksslg https://t.co/4y6igwxwnr,bob casey,[],Senator,Pennsylvania
From: Steve Daines (Representative from Montana),twitter,"american #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/pw6cdxrhir",steve daines,[],Representative,Montana
From: John Fleming (Representative from Louisiana),twitter,"#obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzzkmqj",john fleming,[],Representative,Louisiana
From: Tom Price (Representative from Georgia),twitter,"must read from @marcthiessen -- ""kidnapped libyan prime minister pays the price for an obama leak"" http://t.co/mhhab1v0xd",tom price,['@marcthiessen'],Representative,Georgia
From: Sander Levin (Representative from Michigan),twitter,delaying or refusing to vote to #renewui has real life consequences for 2.8 million americans- http://t.co/srprczh2dg http://t.co/fyzwgvwkxz,sander levin,[],Representative,Michigan
From: Mitch McConnell (Senator from Kentucky),twitter,"in his office in the @uscapitol, senator mcconnell congratulated &amp; welcomed senator-elect bill cassidy to the senate http://t.co/fyzy42ddzp",mitch mcconnell,['@uscapitol'],Senator,Kentucky
From: Chris Collins (Representative from New York),twitter,".@houseofcards, if you donûªt like long island wine, i suggest giving @flxwinecountry or @niagwinetrail wines a try.",chris collins,"['@houseofcards', '@flxwinecountry', '@niagwinetrail']",Representative,New York
From: Martha Roby (Representative from Alabama),twitter,"""six enrolled on health site on day 1"" via @politico. #trainwreck http://t.co/ng4ozr3pab",martha roby,['@politico'],Representative,Alabama
From: C.A. Dutch Ruppersberger (Representative from Maryland),twitter,$10m in federal funds will help relieve congestion around @ftmeademd! more: http://t.co/biop5x3hyx,c.a. dutch ruppersberger,['@ftmeademd'],Representative,Maryland
From: Lindsey Graham (Senator from South Carolina),twitter,job well done by the members of the sc house of representatives who voted down medicaid expansion yesterday.  #scnews,lindsey graham,[],Senator,South Carolina
From: Lee Terry (Representative from Nebraska),twitter,gearing up for coffee w/ constituents this morning at d &amp; k's gretna cafe at 8:30. be sure to stop by..looking forward to speaking w/ folks!,lee terry,[],Representative,Nebraska
From: Timothy Bishop (Representative from New York),twitter,.@askgeorge has been a dedicated public servant &amp; his leadership on @edworkforcedems will be missed. i wish him the best in retirement.,timothy bishop,"['@askgeorge', '@edworkforcedems']",Representative,New York
From: Debbie Wasserman Schultz (Representative from Florida),twitter,"#florida is ""tale of what went right with president barack obama's health care overhaulû despite gop opposition: http://t.co/bhsacu3wje",debbie wasserman schultz,[],Representative,Florida
From: Kurt Schrader (Representative from Oregon),twitter,"if you are in dc tomorrow &amp; want to #makegovernmentwork, join us #problemsolvers in showing america that some of us are here to #fixnotfight",kurt schrader,[],Representative,Oregon
From: Vern Buchanan (Representative from Florida),twitter,fl delegation shining spotlight on va health care in sunshine state http://t.co/cdeexuc1c5,vern buchanan,[],Representative,Florida
From: John McCain (Senator from Arizona),twitter,meeting the press in #jerusalem with @grahamblog #israel http://t.co/fibhbopswh,john mccain,['@grahamblog'],Senator,Arizona
From: Mark Pocan (Representative from Wisconsin),twitter,"video of my speech on house floor, rejecting #gopbudget that cuts jobs in #wi and turns #medicare into a voucher http://t.co/titixbrf4c",mark pocan,[],Representative,Wisconsin
From: Tom Harkin (Senator from Iowa),twitter,what other options are there for raising $350 billion with such a negligible impact on middle-class americans and main street businesses?,tom harkin,[],Senator,Iowa
From: Timothy Bishop (Representative from New York),twitter,thanks to li farm bureau for hosting me to speak directly with farmers about issues most important to them http://t.co/ttbdljimjd,timothy bishop,[],Representative,New York
From: Steny Hoyer (Representative from Maryland),twitter,"for 23 years, the americans with disabilities act has been opening doors for tens of millions of americans. http://t.co/tezfwz1is1",steny hoyer,[],Representative,Maryland
From: Cory Booker (Senator from New Jersey),twitter,is that delight or terror mt @lyndawoolard can u see my delight when cory taught me how 2 take a selfie in yesterday? http://t.co/gjd2pmcmoy,cory booker,['@lyndawoolard'],Senator,New Jersey
From: Chaka Fattah (Representative from Pennsylvania),twitter,"rt @aaas_news: ""basic science is a riskier investment compared with applied research, but one with larger potential payoffs,"" #oped http://û_",chaka fattah,['@aaas'],Representative,Pennsylvania
From: Heidi Heitkamp (Senator from North Dakota),twitter,promising @fanniemae is paying back more $ to us taxpayers. reinforces 5 yrs after crash we need #gsereform to help prevent another bailout,heidi heitkamp,['@fanniemae'],Senator,North Dakota
From: Edward Markey (Senator from Massachusetts),twitter,#kxl oil export strategy makes us a middle man &amp; worsens #climatechange.senate shld reject it http://t.co/z8fihvgcko http://t.co/p4pk9gfw4r,edward markey,[],Senator,Massachusetts
From: Mitch McConnell (Senator from Kentucky),twitter,wtvw-tv report: mcconnell sponsors sunscreen innovation act (+playlist): http://t.co/j0yoowhftr #kentucky,mitch mcconnell,[],Senator,Kentucky
From: Patrick Murphy (Representative from Florida),twitter,we need to work together to find real solutions to @fixthedebt before @thecankicksback http://t.co/5hxcsgtn79,patrick murphy,"['@fixthedebt', '@thecankicksback']",Representative,Florida
From: Cory Gardner (Representative from Colorado),twitter,congrats to the #coleg - last day of session.,cory gardner,[],Representative,Colorado
From: Ileana Ros-Lehtinen (Representative from Florida),twitter,demandarìá obama un recuento en #venezuela? creo q deberì_a. lee mi carta y tweet @whitehouse para decirle lo q piensas http://t.co/wrhmjlbkzh,ileana ros-lehtinen,['@whitehouse'],Representative,Florida
From: Scott Peters (Representative from California),twitter,as @repjoegarcia says this isn't everything each side wants but is a point for reasonable bipartisan support to fix the broken system.,scott peters,['@repjoegarcia'],Representative,California
From: Adam Schiff (Representative from California),twitter,icymi: i spoke with @wolfblitzer tonight about the #sonyhack &amp; north korea. http://t.co/prvjk3nb3c,adam schiff,['@wolfblitzer'],Representative,California
From: Doug Lamborn (Representative from Colorado),twitter,hosting the #colorado30 group today on the hill. strengthening connections with co  leaders on national defense. http://t.co/wjp0yun2af,doug lamborn,[],Representative,Colorado
From: John McCain (Senator from Arizona),twitter,looking fwd to #thirteensoldiers book signing tomorrow @changinghands bookstore in #tempe - more info: http://t.co/tvuwi3xbuz #arizona,john mccain,['@changinghands'],Senator,Arizona
From: Pete Sessions (Representative from Texas),twitter,today marks the 4th time in 5 years that pres. obama missed the legal deadline to submit his budget plan: http://t.co/rivwkvg1 #requireaplan,pete sessions,[],Representative,Texas
From: Kyrsten Sinema (Representative from Arizona),twitter,"come get help w/fed agencies at mobile office hrs: th, 11am-12:30pm, acacia library (750 e. townley ave, phx). http://t.co/83jgojkirc",kyrsten sinema,[],Representative,Arizona
From: Kevin McCarthy (Representative from California),twitter,the obama economy just isnûªt cutting it for hardworking americans  õ http://t.co/yaguzrvj6i,kevin mccarthy,[],Representative,California
From: Robert Scott (Representative from Virginia),twitter,"great to see ft monroe authority ex. dir. oder, dr. wagner &amp; dr. koch at the state of the region presentation in hpt http://t.co/dtpxkjwbsi",robert scott,[],Representative,Virginia
From: Robert Goodlatte (Representative from Virginia),twitter,joining the @foxmorningnews in roanoke just after 8am. hope you'll tune in! #va06 #rke,robert goodlatte,['@foxmorningnews'],Representative,Virginia
From: Billy Long (Representative from Missouri),twitter,"rt @jaketapper: pentagon:  sgt. stephen new, 29, of bartlett, tn, died july 28 in bagram after unit was attacked by small arms fire http://û_",billy long,['@jaketapper'],Representative,Missouri
From: Jack Kingston (Representative from Georgia),twitter,"dod secy chuck hagel, reportedly in charge of #bergdahl exchange, claimed he ""doesn't know..."" today via @freebeacon https://t.co/tlimg8aslt",jack kingston,['@freebeacon'],Representative,Georgia
From: Mario Diaz-Balart (Representative from Florida),twitter,can it be any clearer? lerner and #irs were covering their tracks! http://t.co/c2p3nsokp9,mario diaz-balart,[],Representative,Florida
From: Brian Higgins (Representative from New York),twitter,hear my recent discussion on #syria with irelandûªs @rtenews (begins at 5:45):   http://t.co/vkeyereuj4,brian higgins,['@rtenews'],Representative,New York
From: Roy Blunt (Senator from Missouri),twitter,rt to tell president obama the buck stops with him. http://t.co/n8t627wxcn #irs #irsscandal #benghazi,roy blunt,[],Senator,Missouri
From: Bernard Sanders (Senator from Vermont),twitter,"must read: how to get a raise at mcdonaldûªs - @haroldmeyerson, @washingtonpost: http://t.co/zh4cva5txz #strikefastfood",bernard sanders,"['@haroldmeyerson', '@washingtonpost']",Senator,Vermont
From: Yvette Clarke (Representative from New York),twitter,the number of people signing up for health insurance continues to increase.,yvette clarke,[],Representative,New York
From: Michael McCaul (Representative from Texas),twitter,rt @househomeland: icymi: chairman @mccaulpressshop on @cbsthismorning on the #boston bombing investigation and yesterday's hearing: http:/û_,michael mccaul,"['@househomeland', '@mccaulpressshop', '@cbsthismorning']",Representative,Texas
From: Daniel Lipinski (Representative from Illinois),twitter,thanks to @mayornoak and #willcounty larry walsh for joining me @lewisuniversity airport for today's good news. http://t.co/txst4jgjel,daniel lipinski,"['@mayornoak', '@lewisuniversity']",Representative,Illinois
From: Nita Lowey (Representative from New York),twitter,thoughts &amp; prayers are w/ the families of the 3 innocent israeli teens. abbas must denounce terrorism &amp; bring those responsible to justice,nita lowey,[],Representative,New York
From: Lindsey Graham (Senator from South Carolina),twitter,"president obama wanted 3 things on gun control -- ban assault weapons, limit magazine sizes, and expand background checks. he'll lose all 3.",lindsey graham,[],Senator,South Carolina
From: Lynn Jenkins (Representative from Kansas),twitter,happening now: ways &amp; means hearing w/ irs commissioner koskinen. tune in to http://t.co/u9cjet2oml to hear my question re: aca tax concerns,lynn jenkins,[],Representative,Kansas
From: Tom Rooney (Representative from Florida),twitter,don't forget to cast your vote #fl17 congressional art competition. winner will hang in us capitol https://t.co/hrhzbbgi8w #sayfie,tom rooney,[],Representative,Florida
From: Tom Graves (Representative from Georgia),twitter,"just about to join @seanhannity's radio show at about 4:05pm et, listen live http://t.co/bwxap3kjkv",tom graves,['@seanhannity'],Representative,Georgia
From: Jeanne Shaheen (Senator from New Hampshire),twitter,senate passes #vawa reauthorization in vote of 78-22,jeanne shaheen,[],Senator,New Hampshire
From: John Shimkus (Representative from Illinois),twitter,attending the state of the union. http://t.co/nkfjfwzz,john shimkus,[],Representative,Illinois
From: Pete Sessions (Representative from Texas),twitter,"i'm on the house floor to manage the rule for the house gop plan to keep govt open, stop #obamacare &amp; protect troops: http://t.co/7plgqhx4g4",pete sessions,[],Representative,Texas
